Node,Depth,Value,Alpha,Beta
B5,3,57,61,99
B1,2,61,61,99
C5,3,Infinity,61,99
A1,4,50,61,99
C5,3,50,61,99
B1,2,61,61,99
D5,3,Infinity,61,99
A1,4,48,61,99
D5,3,48,61,99
B1,2,61,61,99
E5,3,Infinity,61,99
A1,4,37,61,99
E5,3,37,61,99
B1,2,61,61,99
B3,1,91,29,91
E1,2,-Infinity,29,91
A1,3,Infinity,29,91
B1,4,37,29,91
A1,3,37,29,37
E1,2,37,37,91
B1,3,Infinity,37,91
A1,4,29,37,91
B1,3,29,37,91
E1,2,37,37,91
A2,3,Infinity,37,91
A1,4,33,37,91
A2,3,33,37,91
E1,2,37,37,91
B2,3,Infinity,37,91
A1,4,25,37,91
B2,3,25,37,91
E1,2,37,37,91
A3,3,Infinity,37,91
A1,4,41,37,91
A3,3,41,37,41
B1,4,45,37,41
A3,3,41,37,41
E1,2,41,41,91
C3,3,Infinity,41,91
A1,4,44,41,91
C3,3,44,41,44
B1,4,48,41,44
C3,3,44,41,44
E1,2,44,44,91
E3,3,Infinity,44,91
A1,4,16,44,91
E3,3,16,44,91
E1,2,44,44,91
A4,3,Infinity,44,91
A1,4,33,44,91
A4,3,33,44,91
E1,2,44,44,91
B4,3,Infinity,44,91
A1,4,45,44,91
B4,3,45,44,45
B1,4,49,44,45
B4,3,45,44,45
E1,2,45,45,91
E4,3,Infinity,45,91
A1,4,15,45,91
E4,3,15,45,91
E1,2,45,45,91
A5,3,Infinity,45,91
A1,4,38,45,91
A5,3,38,45,91
E1,2,45,45,91
B5,3,Infinity,45,91
A1,4,43,45,91
B5,3,43,45,91
E1,2,45,45,91
C5,3,Infinity,45,91
A1,4,36,45,91
C5,3,36,45,91
E1,2,45,45,91
D5,3,Infinity,45,91
A1,4,34,45,91
D5,3,34,45,91
E1,2,45,45,91
E5,3,Infinity,45,91
A1,4,23,45,91
E5,3,23,45,91
E1,2,45,45,91
B3,1,65,29,65
root,0,33,33,Infinity
C3,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,52,33,Infinity
B1,3,52,33,52
A1,2,52,52,Infinity
E1,3,Infinity,52,Infinity
B1,4,38,52,Infinity
E1,3,38,52,Infinity
A1,2,52,52,Infinity
A2,3,Infinity,52,Infinity
B1,4,28,52,Infinity
A2,3,28,52,Infinity
A1,2,52,52,Infinity
B2,3,Infinity,52,Infinity
B1,4,-4,52,Infinity
B2,3,-4,52,Infinity
A1,2,52,52,Infinity
A3,3,Infinity,52,Infinity
B1,4,36,52,Infinity
A3,3,36,52,Infinity
A1,2,52,52,Infinity
B3,3,Infinity,52,Infinity
B1,4,56,52,Infinity
B3,3,56,52,56
E1,4,44,52,56
B3,3,44,52,56
A1,2,52,52,Infinity
E3,3,Infinity,52,Infinity
B1,4,9,52,Infinity
E3,3,9,52,Infinity
A1,2,52,52,Infinity
A4,3,Infinity,52,Infinity
B1,4,28,52,Infinity
A4,3,28,52,Infinity
A1,2,52,52,Infinity
B4,3,Infinity,52,Infinity
B1,4,20,52,Infinity
B4,3,20,52,Infinity
A1,2,52,52,Infinity
E4,3,Infinity,52,Infinity
B1,4,10,52,Infinity
E4,3,10,52,Infinity
A1,2,52,52,Infinity
A5,3,Infinity,52,Infinity
B1,4,33,52,Infinity
A5,3,33,52,Infinity
A1,2,52,52,Infinity
B5,3,Infinity,52,Infinity
B1,4,38,52,Infinity
B5,3,38,52,Infinity
A1,2,52,52,Infinity
C5,3,Infinity,52,Infinity
B1,4,31,52,Infinity
C5,3,31,52,Infinity
A1,2,52,52,Infinity
D5,3,Infinity,52,Infinity
B1,4,29,52,Infinity
D5,3,29,52,Infinity
A1,2,52,52,Infinity
E5,3,Infinity,52,Infinity
B1,4,18,52,Infinity
E5,3,18,52,Infinity
A1,2,52,52,Infinity
C3,1,82,33,82
B1,2,-Infinity,33,82
A1,3,Infinity,33,82
E1,4,20,33,82
A1,3,20,33,82
B1,2,20,33,82
E1,3,Infinity,33,82
A1,4,40,33,82
E1,3,40,33,40
B1,2,40,40,82
A2,3,Infinity,40,82
A1,4,-10,40,82
A2,3,-10,40,82
B1,2,40,40,82
B2,3,Infinity,40,82
A1,4,54,40,82
B2,3,54,40,54
E1,4,44,40,54
B2,3,44,40,44
B1,2,44,44,82
A3,3,Infinity,44,82
A1,4,38,44,82
A3,3,38,44,82
B1,2,44,44,82
B3,3,Infinity,44,82
A1,4,58,44,82
B3,3,58,44,58
E1,4,48,44,58
B3,3,48,44,48
B1,2,48,48,82
E3,3,Infinity,48,82
A1,4,11,48,82
E3,3,11,48,82
B1,2,48,48,82
A4,3,Infinity,48,82
A1,4,30,48,82
A4,3,30,48,82
B1,2,48,48,82
B4,3,Infinity,48,82
A1,4,22,48,82
B4,3,22,48,82
B1,2,48,48,82
E4,3,Infinity,48,82
A1,4,12,48,82
E4,3,12,48,82
B1,2,48,48,82
A5,3,Infinity,48,82
A1,4,35,48,82
A5,3,35,48,82
B1,2,48,48,82
B5,3,Infinity,48,82
A1,4,40,48,82
B5,3,40,48,82
B1,2,48,48,82
C5,3,Infinity,48,82
A1,4,33,48,82
C5,3,33,48,82
B1,2,48,48,82
D5,3,Infinity,48,82
A1,4,31,48,82
D5,3,31,48,82
B1,2,48,48,82
E5,3,Infinity,48,82
A1,4,20,48,82
E5,3,20,48,82
B1,2,48,48,82
C3,1,78,33,78
E1,2,-Infinity,33,78
A1,3,Infinity,33,78
B1,4,20,33,78
A1,3,20,33,78
E1,2,20,33,78
B1,3,Infinity,33,78
A1,4,12,33,78
B1,3,12,33,78
E1,2,20,33,78
A2,3,Infinity,33,78
A1,4,16,33,78
A2,3,16,33,78
E1,2,20,33,78
B2,3,Infinity,33,78
A1,4,8,33,78
B2,3,8,33,78
E1,2,20,33,78
A3,3,Infinity,33,78
A1,4,24,33,78
A3,3,24,33,78
E1,2,24,33,78
B3,3,Infinity,33,78
A1,4,44,33,78
B3,3,44,33,44
B1,4,48,33,44
B3,3,44,33,44
E1,2,44,44,78
E3,3,Infinity,44,78
A1,4,-3,44,78
E3,3,-3,44,78
E1,2,44,44,78
A4,3,Infinity,44,78
A1,4,16,44,78
A4,3,16,44,78
E1,2,44,44,78
B4,3,Infinity,44,78
A1,4,8,44,78
B4,3,8,44,78
E1,2,44,44,78
E4,3,Infinity,44,78
A1,4,-2,44,78
E4,3,-2,44,78
E1,2,44,44,78
A5,3,Infinity,44,78
A1,4,21,44,78
A5,3,21,44,78
E1,2,44,44,78
B5,3,Infinity,44,78
A1,4,26,44,78
B5,3,26,44,78
E1,2,44,44,78
C5,3,Infinity,44,78
A1,4,19,44,78
C5,3,19,44,78
E1,2,44,44,78
D5,3,Infinity,44,78
A1,4,17,44,78
D5,3,17,44,78
E1,2,44,44,78
E5,3,Infinity,44,78
A1,4,6,44,78
E5,3,6,44,78
E1,2,44,44,78
C3,1,64,33,64
root,0,33,33,Infinity
E3,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,24,33,Infinity
B1,3,24,33,Infinity
A1,2,24,33,Infinity
E1,3,Infinity,33,Infinity
B1,4,10,33,Infinity
E1,3,10,33,Infinity
A1,2,24,33,Infinity
A2,3,Infinity,33,Infinity
B1,4,0,33,Infinity
A2,3,0,33,Infinity
A1,2,24,33,Infinity
B2,3,Infinity,33,Infinity
B1,4,-32,33,Infinity
B2,3,-32,33,Infinity
A1,2,24,33,Infinity
A3,3,Infinity,33,Infinity
B1,4,8,33,Infinity
A3,3,8,33,Infinity
A1,2,24,33,Infinity
B3,3,Infinity,33,Infinity
B1,4,28,33,Infinity
B3,3,28,33,Infinity
A1,2,28,33,Infinity
C3,3,Infinity,33,Infinity
B1,4,9,33,Infinity
C3,3,9,33,Infinity
A1,2,28,33,Infinity
A4,3,Infinity,33,Infinity
B1,4,0,33,Infinity
A4,3,0,33,Infinity
A1,2,28,33,Infinity
B4,3,Infinity,33,Infinity
B1,4,-8,33,Infinity
B4,3,-8,33,Infinity
A1,2,28,33,Infinity
E4,3,Infinity,33,Infinity
B1,4,-6,33,Infinity
E4,3,-6,33,Infinity
A1,2,28,33,Infinity
A5,3,Infinity,33,Infinity
B1,4,5,33,Infinity
A5,3,5,33,Infinity
A1,2,28,33,Infinity
B5,3,Infinity,33,Infinity
B1,4,10,33,Infinity
B5,3,10,33,Infinity
A1,2,28,33,Infinity
C5,3,Infinity,33,Infinity
B1,4,3,33,Infinity
C5,3,3,33,Infinity
A1,2,28,33,Infinity
D5,3,Infinity,33,Infinity
B1,4,1,33,Infinity
D5,3,1,33,Infinity
A1,2,28,33,Infinity
E5,3,Infinity,33,Infinity
B1,4,-10,33,Infinity
E5,3,-10,33,Infinity
A1,2,28,33,Infinity
E3,1,46,33,46
B1,2,-Infinity,33,46
A1,3,Infinity,33,46
E1,4,-8,33,46
A1,3,-8,33,46
B1,2,-8,33,46
E1,3,Infinity,33,46
A1,4,12,33,46
E1,3,12,33,46
B1,2,12,33,46
A2,3,Infinity,33,46
A1,4,-38,33,46
A2,3,-38,33,46
B1,2,12,33,46
B2,3,Infinity,33,46
A1,4,26,33,46
B2,3,26,33,46
B1,2,26,33,46
A3,3,Infinity,33,46
A1,4,10,33,46
A3,3,10,33,46
B1,2,26,33,46
B3,3,Infinity,33,46
A1,4,30,33,46
B3,3,30,33,46
B1,2,30,33,46
C3,3,Infinity,33,46
A1,4,11,33,46
C3,3,11,33,46
B1,2,30,33,46
A4,3,Infinity,33,46
A1,4,2,33,46
A4,3,2,33,46
B1,2,30,33,46
B4,3,Infinity,33,46
A1,4,-6,33,46
B4,3,-6,33,46
B1,2,30,33,46
E4,3,Infinity,33,46
A1,4,-4,33,46
E4,3,-4,33,46
B1,2,30,33,46
A5,3,Infinity,33,46
A1,4,7,33,46
A5,3,7,33,46
B1,2,30,33,46
B5,3,Infinity,33,46
A1,4,12,33,46
B5,3,12,33,46
B1,2,30,33,46
C5,3,Infinity,33,46
A1,4,5,33,46
C5,3,5,33,46
B1,2,30,33,46
D5,3,Infinity,33,46
A1,4,3,33,46
D5,3,3,33,46
B1,2,30,33,46
E5,3,Infinity,33,46
A1,4,-8,33,46
E5,3,-8,33,46
B1,2,30,33,46
E3,1,46,33,46
E1,2,-Infinity,33,46
A1,3,Infinity,33,46
B1,4,-8,33,46
A1,3,-8,33,46
E1,2,-8,33,46
B1,3,Infinity,33,46
A1,4,-16,33,46
B1,3,-16,33,46
E1,2,-8,33,46
A2,3,Infinity,33,46
A1,4,-12,33,46
A2,3,-12,33,46
E1,2,-8,33,46
B2,3,Infinity,33,46
A1,4,-20,33,46
B2,3,-20,33,46
E1,2,-8,33,46
A3,3,Infinity,33,46
A1,4,-4,33,46
A3,3,-4,33,46
E1,2,-4,33,46
B3,3,Infinity,33,46
A1,4,16,33,46
B3,3,16,33,46
E1,2,16,33,46
C3,3,Infinity,33,46
A1,4,-3,33,46
C3,3,-3,33,46
E1,2,16,33,46
A4,3,Infinity,33,46
A1,4,-12,33,46
A4,3,-12,33,46
E1,2,16,33,46
B4,3,Infinity,33,46
A1,4,-20,33,46
B4,3,-20,33,46
E1,2,16,33,46
E4,3,Infinity,33,46
A1,4,-18,33,46
E4,3,-18,33,46
E1,2,16,33,46
A5,3,Infinity,33,46
A1,4,-7,33,46
A5,3,-7,33,46
E1,2,16,33,46
B5,3,Infinity,33,46
A1,4,-2,33,46
B5,3,-2,33,46
E1,2,16,33,46
C5,3,Infinity,33,46
A1,4,-9,33,46
C5,3,-9,33,46
E1,2,16,33,46
D5,3,Infinity,33,46
A1,4,-11,33,46
D5,3,-11,33,46
E1,2,16,33,46
E5,3,Infinity,33,46
A1,4,-22,33,46
E5,3,-22,33,46
E1,2,16,33,46
E3,1,36,33,36
root,0,33,33,Infinity
A4,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,41,33,Infinity
B1,3,41,33,41
A1,2,41,41,Infinity
E1,3,Infinity,41,Infinity
B1,4,27,41,Infinity
E1,3,27,41,Infinity
A1,2,41,41,Infinity
A2,3,Infinity,41,Infinity
B1,4,17,41,Infinity
A2,3,17,41,Infinity
A1,2,41,41,Infinity
B2,3,Infinity,41,Infinity
B1,4,-15,41,Infinity
B2,3,-15,41,Infinity
A1,2,41,41,Infinity
A3,3,Infinity,41,Infinity
B1,4,25,41,Infinity
A3,3,25,41,Infinity
A1,2,41,41,Infinity
B3,3,Infinity,41,Infinity
B1,4,45,41,Infinity
B3,3,45,41,45
E1,4,33,41,45
B3,3,33,41,45
A1,2,41,41,Infinity
C3,3,Infinity,41,Infinity
B1,4,28,41,Infinity
C3,3,28,41,Infinity
A1,2,41,41,Infinity
E3,3,Infinity,41,Infinity
B1,4,0,41,Infinity
E3,3,0,41,Infinity
A1,2,41,41,Infinity
B4,3,Infinity,41,Infinity
B1,4,29,41,Infinity
B4,3,29,41,Infinity
A1,2,41,41,Infinity
E4,3,Infinity,41,Infinity
B1,4,-1,41,Infinity
E4,3,-1,41,Infinity
A1,2,41,41,Infinity
A5,3,Infinity,41,Infinity
B1,4,22,41,Infinity
A5,3,22,41,Infinity
A1,2,41,41,Infinity
B5,3,Infinity,41,Infinity
B1,4,27,41,Infinity
B5,3,27,41,Infinity
A1,2,41,41,Infinity
C5,3,Infinity,41,Infinity
B1,4,20,41,Infinity
C5,3,20,41,Infinity
A1,2,41,41,Infinity
D5,3,Infinity,41,Infinity
B1,4,18,41,Infinity
D5,3,18,41,Infinity
A1,2,41,41,Infinity
E5,3,Infinity,41,Infinity
B1,4,7,41,Infinity
E5,3,7,41,Infinity
A1,2,41,41,Infinity
A4,1,71,33,71
B1,2,-Infinity,33,71
A1,3,Infinity,33,71
E1,4,9,33,71
A1,3,9,33,71
B1,2,9,33,71
E1,3,Infinity,33,71
A1,4,29,33,71
E1,3,29,33,71
B1,2,29,33,71
A2,3,Infinity,33,71
A1,4,-21,33,71
A2,3,-21,33,71
B1,2,29,33,71
B2,3,Infinity,33,71
A1,4,43,33,71
B2,3,43,33,43
E1,4,33,33,43
B2,3,33,33,43
B1,2,33,33,71
A3,3,Infinity,33,71
A1,4,27,33,71
A3,3,27,33,71
B1,2,33,33,71
B3,3,Infinity,33,71
A1,4,47,33,71
B3,3,47,33,47
E1,4,37,33,47
B3,3,37,33,37
B1,2,37,37,71
C3,3,Infinity,37,71
A1,4,30,37,71
C3,3,30,37,71
B1,2,37,37,71
E3,3,Infinity,37,71
A1,4,2,37,71
E3,3,2,37,71
B1,2,37,37,71
B4,3,Infinity,37,71
A1,4,31,37,71
B4,3,31,37,71
B1,2,37,37,71
E4,3,Infinity,37,71
A1,4,1,37,71
E4,3,1,37,71
B1,2,37,37,71
A5,3,Infinity,37,71
A1,4,24,37,71
A5,3,24,37,71
B1,2,37,37,71
B5,3,Infinity,37,71
A1,4,29,37,71
B5,3,29,37,71
B1,2,37,37,71
C5,3,Infinity,37,71
A1,4,22,37,71
C5,3,22,37,71
B1,2,37,37,71
D5,3,Infinity,37,71
A1,4,20,37,71
D5,3,20,37,71
B1,2,37,37,71
E5,3,Infinity,37,71
A1,4,9,37,71
E5,3,9,37,71
B1,2,37,37,71
A4,1,67,33,67
E1,2,-Infinity,33,67
A1,3,Infinity,33,67
B1,4,9,33,67
A1,3,9,33,67
E1,2,9,33,67
B1,3,Infinity,33,67
A1,4,1,33,67
B1,3,1,33,67
E1,2,9,33,67
A2,3,Infinity,33,67
A1,4,5,33,67
A2,3,5,33,67
E1,2,9,33,67
B2,3,Infinity,33,67
A1,4,-3,33,67
B2,3,-3,33,67
E1,2,9,33,67
A3,3,Infinity,33,67
A1,4,13,33,67
A3,3,13,33,67
E1,2,13,33,67
B3,3,Infinity,33,67
A1,4,33,33,67
B3,3,33,33,67
E1,2,33,33,67
C3,3,Infinity,33,67
A1,4,16,33,67
C3,3,16,33,67
E1,2,33,33,67
E3,3,Infinity,33,67
A1,4,-12,33,67
E3,3,-12,33,67
E1,2,33,33,67
B4,3,Infinity,33,67
A1,4,17,33,67
B4,3,17,33,67
E1,2,33,33,67
E4,3,Infinity,33,67
A1,4,-13,33,67
E4,3,-13,33,67
E1,2,33,33,67
A5,3,Infinity,33,67
A1,4,10,33,67
A5,3,10,33,67
E1,2,33,33,67
B5,3,Infinity,33,67
A1,4,15,33,67
B5,3,15,33,67
E1,2,33,33,67
C5,3,Infinity,33,67
A1,4,8,33,67
C5,3,8,33,67
E1,2,33,33,67
D5,3,Infinity,33,67
A1,4,6,33,67
D5,3,6,33,67
E1,2,33,33,67
E5,3,Infinity,33,67
A1,4,-5,33,67
E5,3,-5,33,67
E1,2,33,33,67
A4,1,53,33,53
root,0,33,33,Infinity
B4,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,33,33,Infinity
B1,3,33,33,Infinity
A1,2,33,33,Infinity
E1,3,Infinity,33,Infinity
B1,4,19,33,Infinity
E1,3,19,33,Infinity
A1,2,33,33,Infinity
A2,3,Infinity,33,Infinity
B1,4,9,33,Infinity
A2,3,9,33,Infinity
A1,2,33,33,Infinity
B2,3,Infinity,33,Infinity
B1,4,-23,33,Infinity
B2,3,-23,33,Infinity
A1,2,33,33,Infinity
A3,3,Infinity,33,Infinity
B1,4,17,33,Infinity
A3,3,17,33,Infinity
A1,2,33,33,Infinity
B3,3,Infinity,33,Infinity
B1,4,37,33,Infinity
B3,3,37,33,37
E1,4,25,33,37
B3,3,25,33,37
A1,2,33,33,Infinity
C3,3,Infinity,33,Infinity
B1,4,20,33,Infinity
C3,3,20,33,Infinity
A1,2,33,33,Infinity
E3,3,Infinity,33,Infinity
B1,4,-8,33,Infinity
E3,3,-8,33,Infinity
A1,2,33,33,Infinity
A4,3,Infinity,33,Infinity
B1,4,9,33,Infinity
A4,3,9,33,Infinity
A1,2,33,33,Infinity
E4,3,Infinity,33,Infinity
B1,4,-9,33,Infinity
E4,3,-9,33,Infinity
A1,2,33,33,Infinity
A5,3,Infinity,33,Infinity
B1,4,14,33,Infinity
A5,3,14,33,Infinity
A1,2,33,33,Infinity
B5,3,Infinity,33,Infinity
B1,4,19,33,Infinity
B5,3,19,33,Infinity
A1,2,33,33,Infinity
C5,3,Infinity,33,Infinity
B1,4,12,33,Infinity
C5,3,12,33,Infinity
A1,2,33,33,Infinity
D5,3,Infinity,33,Infinity
B1,4,10,33,Infinity
D5,3,10,33,Infinity
A1,2,33,33,Infinity
E5,3,Infinity,33,Infinity
B1,4,-1,33,Infinity
E5,3,-1,33,Infinity
A1,2,33,33,Infinity
B4,1,63,33,63
B1,2,-Infinity,33,63
A1,3,Infinity,33,63
E1,4,1,33,63
A1,3,1,33,63
B1,2,1,33,63
E1,3,Infinity,33,63
A1,4,21,33,63
E1,3,21,33,63
B1,2,21,33,63
A2,3,Infinity,33,63
A1,4,-29,33,63
A2,3,-29,33,63
B1,2,21,33,63
B2,3,Infinity,33,63
A1,4,35,33,63
B2,3,35,33,35
E1,4,25,33,35
B2,3,25,33,35
B1,2,25,33,63
A3,3,Infinity,33,63
A1,4,19,33,63
A3,3,19,33,63
B1,2,25,33,63
B3,3,Infinity,33,63
A1,4,39,33,63
B3,3,39,33,39
E1,4,29,33,39
B3,3,29,33,39
B1,2,29,33,63
C3,3,Infinity,33,63
A1,4,22,33,63
C3,3,22,33,63
B1,2,29,33,63
E3,3,Infinity,33,63
A1,4,-6,33,63
E3,3,-6,33,63
B1,2,29,33,63
A4,3,Infinity,33,63
A1,4,11,33,63
A4,3,11,33,63
B1,2,29,33,63
E4,3,Infinity,33,63
A1,4,-7,33,63
E4,3,-7,33,63
B1,2,29,33,63
A5,3,Infinity,33,63
A1,4,16,33,63
A5,3,16,33,63
B1,2,29,33,63
B5,3,Infinity,33,63
A1,4,21,33,63
B5,3,21,33,63
B1,2,29,33,63
C5,3,Infinity,33,63
A1,4,14,33,63
C5,3,14,33,63
B1,2,29,33,63
D5,3,Infinity,33,63
A1,4,12,33,63
D5,3,12,33,63
B1,2,29,33,63
E5,3,Infinity,33,63
A1,4,1,33,63
E5,3,1,33,63
B1,2,29,33,63
B4,1,59,33,59
E1,2,-Infinity,33,59
A1,3,Infinity,33,59
B1,4,1,33,59
A1,3,1,33,59
E1,2,1,33,59
B1,3,Infinity,33,59
A1,4,-7,33,59
B1,3,-7,33,59
E1,2,1,33,59
A2,3,Infinity,33,59
A1,4,-3,33,59
A2,3,-3,33,59
E1,2,1,33,59
B2,3,Infinity,33,59
A1,4,-11,33,59
B2,3,-11,33,59
E1,2,1,33,59
A3,3,Infinity,33,59
A1,4,5,33,59
A3,3,5,33,59
E1,2,5,33,59
B3,3,Infinity,33,59
A1,4,25,33,59
B3,3,25,33,59
E1,2,25,33,59
C3,3,Infinity,33,59
A1,4,8,33,59
C3,3,8,33,59
E1,2,25,33,59
E3,3,Infinity,33,59
A1,4,-20,33,59
E3,3,-20,33,59
E1,2,25,33,59
A4,3,Infinity,33,59
A1,4,-3,33,59
A4,3,-3,33,59
E1,2,25,33,59
E4,3,Infinity,33,59
A1,4,-21,33,59
E4,3,-21,33,59
E1,2,25,33,59
A5,3,Infinity,33,59
A1,4,2,33,59
A5,3,2,33,59
E1,2,25,33,59
B5,3,Infinity,33,59
A1,4,7,33,59
B5,3,7,33,59
E1,2,25,33,59
C5,3,Infinity,33,59
A1,4,0,33,59
C5,3,0,33,59
E1,2,25,33,59
D5,3,Infinity,33,59
A1,4,-2,33,59
D5,3,-2,33,59
E1,2,25,33,59
E5,3,Infinity,33,59
A1,4,-13,33,59
E5,3,-13,33,59
E1,2,25,33,59
B4,1,45,33,45
root,0,33,33,Infinity
E4,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,23,33,Infinity
B1,3,23,33,Infinity
A1,2,23,33,Infinity
E1,3,Infinity,33,Infinity
B1,4,9,33,Infinity
E1,3,9,33,Infinity
A1,2,23,33,Infinity
A2,3,Infinity,33,Infinity
B1,4,-1,33,Infinity
A2,3,-1,33,Infinity
A1,2,23,33,Infinity
B2,3,Infinity,33,Infinity
B1,4,-33,33,Infinity
B2,3,-33,33,Infinity
A1,2,23,33,Infinity
A3,3,Infinity,33,Infinity
B1,4,7,33,Infinity
A3,3,7,33,Infinity
A1,2,23,33,Infinity
B3,3,Infinity,33,Infinity
B1,4,27,33,Infinity
B3,3,27,33,Infinity
A1,2,27,33,Infinity
C3,3,Infinity,33,Infinity
B1,4,10,33,Infinity
C3,3,10,33,Infinity
A1,2,27,33,Infinity
E3,3,Infinity,33,Infinity
B1,4,-18,33,Infinity
E3,3,-18,33,Infinity
A1,2,27,33,Infinity
A4,3,Infinity,33,Infinity
B1,4,-1,33,Infinity
A4,3,-1,33,Infinity
A1,2,27,33,Infinity
B4,3,Infinity,33,Infinity
B1,4,-9,33,Infinity
B4,3,-9,33,Infinity
A1,2,27,33,Infinity
A5,3,Infinity,33,Infinity
B1,4,4,33,Infinity
A5,3,4,33,Infinity
A1,2,27,33,Infinity
B5,3,Infinity,33,Infinity
B1,4,9,33,Infinity
B5,3,9,33,Infinity
A1,2,27,33,Infinity
C5,3,Infinity,33,Infinity
B1,4,2,33,Infinity
C5,3,2,33,Infinity
A1,2,27,33,Infinity
D5,3,Infinity,33,Infinity
B1,4,0,33,Infinity
D5,3,0,33,Infinity
A1,2,27,33,Infinity
E5,3,Infinity,33,Infinity
B1,4,-11,33,Infinity
E5,3,-11,33,Infinity
A1,2,27,33,Infinity
E4,1,45,33,45
B1,2,-Infinity,33,45
A1,3,Infinity,33,45
E1,4,-9,33,45
A1,3,-9,33,45
B1,2,-9,33,45
E1,3,Infinity,33,45
A1,4,11,33,45
E1,3,11,33,45
B1,2,11,33,45
A2,3,Infinity,33,45
A1,4,-39,33,45
A2,3,-39,33,45
B1,2,11,33,45
B2,3,Infinity,33,45
A1,4,25,33,45
B2,3,25,33,45
B1,2,25,33,45
A3,3,Infinity,33,45
A1,4,9,33,45
A3,3,9,33,45
B1,2,25,33,45
B3,3,Infinity,33,45
A1,4,29,33,45
B3,3,29,33,45
B1,2,29,33,45
C3,3,Infinity,33,45
A1,4,12,33,45
C3,3,12,33,45
B1,2,29,33,45
E3,3,Infinity,33,45
A1,4,-16,33,45
E3,3,-16,33,45
B1,2,29,33,45
A4,3,Infinity,33,45
A1,4,1,33,45
A4,3,1,33,45
B1,2,29,33,45
B4,3,Infinity,33,45
A1,4,-7,33,45
B4,3,-7,33,45
B1,2,29,33,45
A5,3,Infinity,33,45
A1,4,6,33,45
A5,3,6,33,45
B1,2,29,33,45
B5,3,Infinity,33,45
A1,4,11,33,45
B5,3,11,33,45
B1,2,29,33,45
C5,3,Infinity,33,45
A1,4,4,33,45
C5,3,4,33,45
B1,2,29,33,45
D5,3,Infinity,33,45
A1,4,2,33,45
D5,3,2,33,45
B1,2,29,33,45
E5,3,Infinity,33,45
A1,4,-9,33,45
E5,3,-9,33,45
B1,2,29,33,45
E4,1,45,33,45
E1,2,-Infinity,33,45
A1,3,Infinity,33,45
B1,4,-9,33,45
A1,3,-9,33,45
E1,2,-9,33,45
B1,3,Infinity,33,45
A1,4,-17,33,45
B1,3,-17,33,45
E1,2,-9,33,45
A2,3,Infinity,33,45
A1,4,-13,33,45
A2,3,-13,33,45
E1,2,-9,33,45
B2,3,Infinity,33,45
A1,4,-21,33,45
B2,3,-21,33,45
E1,2,-9,33,45
A3,3,Infinity,33,45
A1,4,-5,33,45
A3,3,-5,33,45
E1,2,-5,33,45
B3,3,Infinity,33,45
A1,4,15,33,45
B3,3,15,33,45
E1,2,15,33,45
C3,3,Infinity,33,45
A1,4,-2,33,45
C3,3,-2,33,45
E1,2,15,33,45
E3,3,Infinity,33,45
A1,4,-30,33,45
E3,3,-30,33,45
E1,2,15,33,45
A4,3,Infinity,33,45
A1,4,-13,33,45
A4,3,-13,33,45
E1,2,15,33,45
B4,3,Infinity,33,45
A1,4,-21,33,45
B4,3,-21,33,45
E1,2,15,33,45
A5,3,Infinity,33,45
A1,4,-8,33,45
A5,3,-8,33,45
E1,2,15,33,45
B5,3,Infinity,33,45
A1,4,-3,33,45
B5,3,-3,33,45
E1,2,15,33,45
C5,3,Infinity,33,45
A1,4,-10,33,45
C5,3,-10,33,45
E1,2,15,33,45
D5,3,Infinity,33,45
A1,4,-12,33,45
D5,3,-12,33,45
E1,2,15,33,45
E5,3,Infinity,33,45
A1,4,-23,33,45
E5,3,-23,33,45
E1,2,15,33,45
E4,1,35,33,35
root,0,33,33,Infinity
A5,1,Infinity,33,Infinity
A1,2,-Infinity,33,Infinity
B1,3,Infinity,33,Infinity
E1,4,46,33,Infinity
B1,3,46,33,46
A1,2,46,46,Infinity
E1,3,Infinity,46,Infinity
B1,4,32,46,Infinity
E1,3,32,46,Infinity
A1,2,46,46,Infinity
A2,3,Infinity,46,Infinity
B1,4,22,46,Infinity
A2,3,22,46,Infinity
A1,2,46,46,Infinity
B2,3,Infinity,46,Infinity
B1,4,-10,46,Infinity
B2,3,-10,46,Infinity
A1,2,46,46,Infinity
A3,3,Infinity,46,Infinity
B1,4,30,46,Infinity
A3,3,30,46,Infinity
A1,2,46,46,Infinity
B3,3,Infinity,46,Infinity
B1,4,50,46,Infinity
B3,3,50,46,50
E1,4,38,46,50
B3,3,38,46,50
A1,2,46,46,Infinity
C3,3,Infinity,46,Infinity
B1,4,33,46,Infinity
C3,3,33,46,Infinity
A1,2,46,46,Infinity
E3,3,Infinity,46,Infinity
B1,4,5,46,Infinity
E3,3,5,46,Infinity
A1,2,46,46,Infinity
A4,3,Infinity,46,Infinity
B1,4,22,46,Infinity
A4,3,22,46,Infinity
A1,2,46,46,Infinity
B4,3,Infinity,46,Infinity
